gene,days,raw_data,ct_value,dt_ct,x2_dct,mean2dct,sd2dct
Foxg1,d11,O7,27.338,11.844000000000001,2.7201993428206363e-4,0.05799120805648682,0.22295858367923915
Foxg1,d11,O8,27.01,11.508000000000001,3.4335771482253864e-4,0.05799120805648682,0.22295858367923915
Foxg1,d11,O9,16.805,0.21099999999999852,0.8639381874002781,0.05799120805648682,0.22295858367923915
Foxg1,d15,O10,26.363,11.767,2.8693269736810824e-4,0.05799120805648682,0.22295858367923915
Foxg1,d15,O11,26.621,10.906999999999998,5.207938382967608e-4,0.05799120805648682,0.22295858367923915
Foxg1,d15,O12,26.723,12.09,2.2937567119482732e-4,0.05799120805648682,0.22295858367923915
Foxg1,d16,O13,26.943,11.123000000000001,4.483770323734977e-4,0.05799120805648682,0.22295858367923915
Foxg1,d16,O14,26.847,10.438000000000002,7.208566433998198e-4,0.05799120805648682,0.22295858367923915
Foxg1,d16,O15,26.949,10.505000000000003,6.881448999716881e-4,0.05799120805648682,0.22295858367923915
GAPDH,d0,P1,15.535,0,1,1,0
GAPDH,d0,P2,15.481,0,1,1,0
GAPDH,d0,P3,16.746,0,1,1,0
GAPDH,d7,P4,16.509,0,1,1,0
GAPDH,d7,P5,16.878,0,1,1,0
GAPDH,d7,P6,16.906,0,1,1,0
GAPDH,d11,P7,15.494,0,1,1,0
GAPDH,d11,P8,15.502,0,1,1,0
GAPDH,d11,P9,16.594,0,1,1,0
GAPDH,d15,P10,14.596,0,1,1,0
GAPDH,d15,P11,15.714,0,1,1,0
GAPDH,d15,P12,14.633,0,1,1,0
GAPDH,d16,P13,15.82,0,1,1,0
GAPDH,d16,P14,16.409,0,1,1,0
GAPDH,d16,P15,16.444,0,1,1,0
